"A"	"M"	"Rp"	"car_den200"	"car_den100"	"car_den50"	"car_den40"	"car_den30"	"car_den20"	"car_den15"	"car_den10"	"car_den9"	"car_den8"	"car_den7"	"car_den6"	"car_den5"	"car_den4"	"car_den3"	"car_den2"	"car_den1"	"carc_dist"	"POINT_X"	"POINT_Y"
"39"	0	0	0	0.0065877	0.0226013	0.0467923	0.0452052	0.035533	0.0241095	0.0155371	0.000474056	5.55544e-06	0	0	0	0	0	0	0	0	9.21954	-26.6196420000051	343.744559999555
"40"	2	0	1	0.00649748	0.0213204	0.0361175	0.0311803	0.0210934	0.00826717	0.000904633	0	0	0	0	0	0	0	0	0	0	12.7279	-26.3176519999979	332.478369999677
"41"	0	0	1	0.00623314	0.0176619	0.0127433	0.00661634	0.00324725	0.00266221	0.00235527	0.00156442	0.000828704	7.29623e-05	0	0	0	0	0	0	0	7.61577	-35.0572989999782	374.238490000367
"42"	0	0	1	0.00629216	0.0184486	0.0160282	0.00924362	0.00341181	0.00186896	0.0026177	0.00255289	0.00192193	0.000898448	4.03129e-06	0	0	0	0	0	0	6.7082	-37.3154959999956	363.800520000048
"43"	0	0	0	0.00635921	0.0193641	0.0210011	0.0134292	0.00598512	0.00138086	0.000548704	0	0	0	0	0	0	0	0	0	0	12.2066	-37.4477479999769	353.428690000437
"44"	0	0	0	0.00635485	0.0193148	0.0210938	0.0137569	0.00669084	0.00203692	0.00274004	0.00297191	0.00243165	0.00142621	0.000185986	0	0	0	0	0	0	7.07107	-37.6262880000286	343.966079999693
"45"	4	1	0	0.00628757	0.0184208	0.0169385	0.0103999	0.00489729	0.00248576	0.00141785	0	0	0	0	0	0	0	0	0	0	11.4018	-37.9668359999778	333.524810000323
"46"	0	0	0	0.00615562	0.0167108	0.0105687	0.00532209	0.00207782	0.0018264	0.00100297	0	0	0	0	0	0	0	0	0	0	11.0454	-37.9536109999754	324.207679999992
"47"	0	0	1	0.00590531	0.0135808	0.00317903	0.00156006	0.00111438	0.000406895	0	0	0	0	0	0	0	0	0	0	0	16.1245	-46.8177789999754	374.860070000403
"48"	0	0	1	0.006038	0.0151829	0.00572516	0.00228523	0.00115594	0.000396279	0	0	0	0	0	0	0	0	0	0	0	15.1327	-46.4904560000286	364.868459999561
"49"	0	0	1	0.00610739	0.0160572	0.0077071	0.00349659	0.00126674	0.000932052	0.000457751	0	0	0	0	0	0	0	0	0	0	12.1655	-46.5962569999974	354.926439999603
"50"	0	0	1	0.00611478	0.0161613	0.00811834	0.0039636	0.00186432	0.00265251	0.0036893	0.0068634	0.00777463	0.00866727	0.00926094	0.00883645	0.0058434	0.000141172	0	0	0	3.60555	-46.5764199999976	346.006059999578
"51"	0	0	1	0.00556785	0.00989465	0.00109998	0.000855222	0.00100912	0.00192155	0.00283412	0.00330884	0.00285552	0.00190436	0.000502006	0	0	0	0	0	0	6.08276	-56.6044020000263	375.865179999731
"52"	0	0	1	0.00570293	0.0113177	0.00160067	0.00104524	0.000880435	0.000911793	0.000437044	0	0	0	0	0	0	0	0	0	0	12.53	-57.1234900000272	366.00251000002
"53"	0	0	1	0.00574106	0.0117454	0.00195605	0.00120479	0.000742294	3.61863e-05	0	0	0	0	0	0	0	0	0	0	0	18.3848	-57.5995959999855	356.090250000358
"54"	0	0	1	0.00571604	0.0114881	0.00187859	0.00132136	0.00116689	0.000622999	4.54401e-06	0	0	0	0	0	0	0	0	0	0	14.3178	-58.2939180000103	346.250730000436
"55"	0	0	0	0.00566478	0.0109546	0.00159273	0.00139371	0.00187764	0.00180597	0.0010933	0	0	0	0	0	0	0	0	0	0	10.2956	-58.9551760000177	336.43104000017
"56"	0	0	1	0.00504762	0.00532269	0.000531135	0.000555642	0.000847795	0.00138341	0.00140582	1.92954e-05	0	0	0	0	0	0	0	0	0	9.48683	-65.6338850000175	386.484989999793
"57"	0	0	0	0.00518036	0.00636348	0.00070494	0.000760832	0.00105037	0.00223205	0.00375982	0.00719027	0.00825346	0.00939086	0.0103874	0.0106151	0.00847152	0.00179334	0	0	0	4	-66.5927099999972	376.602479999885
"58"	1	0	1	0.00531668	0.00753302	0.000886778	0.000910733	0.00106946	0.00129946	0.00120946	0	0	0	0	0	0	0	0	0	0	10.7703	-67.1316349999979	366.620790000074
"59"	0	0	1	0.00535352	0.00787866	0.00101171	0.000971685	0.000779535	7.57029e-05	0	0	0	0	0	0	0	0	0	0	0	18	-67.5945160000119	356.761429999955
"60"	0	0	1	0.00541082	0.00841873	0.00108607	0.0010621	0.000600425	0	0	0	0	0	0	0	0	0	0	0	0	21.4709	-66.2176929999841	347.024749999866
"61"	0	0	1	0.00462311	0.00273975	0.000440215	0.000493147	0.000523882	0.000261574	0	0	0	0	0	0	0	0	0	0	0	16.4012	-75.4403470000252	386.613939999603
"62"	0	1	1	0.00480892	0.00375786	0.000595824	0.000759813	0.000915763	0.00086476	0.000362336	0	0	0	0	0	0	0	0	0	0	13	-75.6288049999857	376.718200000003
"63"	1	0	1	0.00494024	0.00460878	0.000718066	0.000876685	0.00118017	0.0008849	2.58691e-05	0	0	0	0	0	0	0	0	0	0	14.1421	-75.9230649999809	366.815860000439
"64"	0	0	1	0.00497055	0.00483488	0.000778752	0.000820699	0.00101713	0.00149539	0.00168041	0.000262446	0	0	0	0	0	0	0	0	0	9	-76.2636129999883	356.893679999746
