year	site	species	id	sex	infected	strain	strain.2	type
2009	kyrg	p.humei	97364	m	0	NA	NA	NA
2009	kyrg	p.humei	97372	m	0	NA	NA	NA
2009	kyrg	p.humei	97378	m	0	NA	NA	NA
2009	kyrg	p.humei	97380	m	0	NA	NA	NA
2009	kyrg	p.humei	97337	m	0	NA	NA	NA
2009	kyrg	p.humei	97381	m	0	NA	NA	NA
2009	kyrg	p.humei	5205	m	0	NA	NA	NA
2009	kyrg	p.humei	97368	m	0	NA	NA	NA
2009	kyrg	p.humei	97374	m	0	NA	NA	NA
2009	kyrg	p.humei	5054	m	1	PLA1	PLA1	P
2009	kyrg	p.humei	97365	m	1	PLA1	PLA1	P
2009	kyrg	p.humei	381.1	m	1	PLA2	PLA2	P
2010	sib	p.humei	8323	m	1	HAE1	HAE1	H
2010	sib	p.humei	8330	m	1	HAE1	HAE1	H
2010	sib	p.humei	8335	m	1	HAE1	HAE1	H
2010	sib	p.humei	8371	m	1	HAE1	HAE1	H
2010	sib	p.humei	8372	m	1	HAE1	HAE1	H
2010	sib	p.humei	8379	m	1	HAE1	HAE1	H
2010	sib	p.humei	8381	f	1	HAE1	HAE1	H
2010	sib	p.humei	8390	m	1	HAE1	HAE1	H
2010	sib	p.humei	8402	m	1	HAE1	HAE1	H
2010	sib	p.humei	8412	m	1	HAE1	HAE1	H
2010	sib	p.humei	8430	f	1	HAE2	HAE2	H
2010	sib	p.humei	8350	m	1	HAE2	HAE2	H
2010	sib	p.humei	8376	f	1	HAE2	HAE2	H
2010	sib	p.humei	8357	m	1	HAE3	HAE3	H
2010	sib	p.humei	8378	m	1	MI	NA	NA
2010	sib	p.humei	8562	f	0	NA	NA	NA
2010	sib	p.humei	8375	f	0	NA	NA	NA
2010	sib	p.humei	8431	f	0	NA	NA	NA
2010	sib	p.humei	8522	m	0	NA	NA	NA
2010	sib	p.humei	8344	m	0	NA	NA	NA
2010	sib	p.humei	8345	m	0	NA	NA	NA
2010	sib	p.humei	8312	m	0	NA	NA	NA
